stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021017365056000,Västra Fågelvik,59.449910,11.841669,1,,
9021017365057000,Vikebotten,59.349497,12.092722,1,,
9021017365061000,"Årjäng, Kyrkerud",59.377067,12.102912,1,,
9021017365062000,"Årjäng, Nordmarkens skola",59.385776,12.120402,1,,
9021017365063000,Norra Slämtegen,59.326533,12.111460,1,,
9021017365065000,"Töcksfors, Solgården",59.508919,11.832881,1,,
9021017365069000,"Årjäng, Brandstationen",59.387618,12.128040,1,,
9021017365070000,Jämnemon,59.298770,12.399624,1,,
9021017365071000,"Årjäng, Sågen",59.384203,12.116892,1,,
9021017365073000,"Töcksfors, Vårdcentralen",59.510624,11.836340,1,,
9021017365074000,"Årjäng, Vårdcentralen",59.388659,12.130852,1,,
9021017365075000,Björnvik,59.340062,11.960557,1,,
9021017365076000,Ängebäck,59.369157,11.990395,1,,
9021017365077000,Furskog,59.384321,12.073375,1,,
9021017365079000,"Töcksfors, Handelsparken",59.509706,11.820942,1,,
9021017365193000,Åsebyn,59.388112,12.208184,1,,
9021017366000000,Annefors,59.876074,13.363746,1,,
9021017366001000,Askersbyvägen,59.793100,13.212320,1,,
9021017366002000,Bergakorset,59.734900,13.131876,1,,
9021017366004000,Skrötingerud,59.790202,13.105015,1,,
9021017366007000,Bråsstorpsvägen,59.799644,13.116584,1,,
9021017366008000,By,59.878839,13.139234,1,,
9021017366010000,Bäckebron,59.662018,13.158328,1,,
9021017366011000,Bössviken,59.669524,13.292394,1,,
9021017366013000,Elofsrud,59.667058,13.152196,1,,
9021017366014000,Fasterud,59.783245,13.193152,1,,
9021017366016000,Forsängen,59.800677,13.051943,1,,
9021017366017000,Frykenstrand,59.885820,13.139390,1,,
9021017366018000,Fölsvik,59.697598,13.239561,1,,
9021017366019000,Gettjärn,59.876694,12.966635,1,,
9021017366020000,Gettjärns handel,59.871298,12.988048,1,,
9021017366023000,Gravavägen,59.700716,13.148110,1,,
9021017366024000,Grinnemo,60.012315,12.900847,1,,
9021017366025000,"Gräsmark, Kyrkan",59.946073,12.912093,1,,
9021017366026000,Södra Hälserud,59.858361,13.076491,1,,
9021017366029000,Hällserud,59.857260,13.066297,1,,
9021017366030000,Högberg,59.774129,13.195343,1,,
9021017366034000,Karsbol,59.892489,13.237707,1,,
9021017366037000,Kringeråsen,59.690664,13.140024,1,,
9021017366043000,"Lysvik, Ordensvägen",60.012563,13.137201,1,,
9021017366044000,Bjälverud E45,60.021831,13.075681,1,,
9021017366046000,Mallbacken,59.987906,13.218053,1,,
9021017366047000,Mellby,59.820925,13.171849,1,,
9021017366048000,Mårbacka,59.780914,13.236138,1,,
9021017366050000,Norra Granbäck,59.971511,12.888138,1,,
9021017366051000,Norra Arneby,59.861128,13.165419,1,,
9021017366053000,Ransbytorp,60.041074,13.123355,1,,
9021017366054000,Rottneros,59.793882,13.110616,1,,
9021017366059000,Södra Ås,59.759276,13.240044,1,,
